,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
3184,Plug Power,PLUG,YES,-0.22,-0.17,12.0,-0.77,1310.255,262.656,39.63,701.44,-684.13202,895.79602,-724.008,-668.711,3305.29809,Manufacturing - Electronics,Industrial Products,5370.22,9.05,30.03,0.6248416888610895,-0.9533402714416058
3188,PLx Pharma,PLXPQ,YES,,,,,,,27260.0,8.21,-46.125,4.80499,-46.125,-48.434,73.47599,Medical - Drugs,Medical,0.42,0.0143,3.51,,-5.899390986601705
3190,Playa Hotels & Resorts,PLYA,YES,0.11,0.0,2.0,0.56,913.63598,229.82699,60.16,856.26,115.317,459.02999,56.706,165.509,454.11099,Hotels and Motels,Consumer Discretionary,1445.89,9.41,9.6,0.06485815244791072,0.19329292504613083
3193,Nuvilex,PMCB,YES,,,,,,,,,-4.23851,0.0,-4.239,-4.239,85.495,Medical - Drugs,Medical,51.98,2.98,3.07,,
3195,PMV Pharmaceuticals,PMVP,YES,-0.52,-0.54,2.0,-1.9,,,,,-73.326,0.0,-73.31701,-73.63,247.00599,Medical - Drugs,Medical,217.88,4.76,17.18,,
3199,PennantPark Investment,PNNT,YES,0.2,0.21,5.0,0.79,126.47,32.25899,28.66,104.97,4.01999,22.48399,-24.74,40.40299,62.715,Financial - SBIC & Commercial Industry,Finance,332.64,5.1,7.89,0.18633053084417875,0.38490035248166143
3205,POET Technologies,POET,YES,-0.15,-0.15,1.0,-0.57,2.5,0.2,164.59,0.55,-20.987,0.0,-21.03701,-19.744,9.56799,Electronics - Semiconductors,Computer and Technology,147.32,3.6999,7.16,1.5141277326297755,-35.89818181818182
3206,POLISHED INC,POL,YES,,,,,,,557.15,362.31,6.97599,282.65499,7.67,21.86599,121.318,Consumer Products - Discretionary,Consumer Discretionary,49.01,0.4657,1.75,,0.06035160497916149
3212,AMMO,POWW,YES,0.05,0.06,1.0,0.24,156.6,38.0,284.54,240.27,37.171,151.50599,33.247,80.882,129.692,Leisure and Recreation Products,Consumer Discretionary,232.15,1.97,5.98,-0.428068507446998,0.3366296250052025
3219,Perpetua Resources,PPTA,YES,-0.08,-0.08,1.0,-0.44,,,,,-28.71401,0.0,-28.71401,-28.653,23.562,Mining - Miscellaneous,Basic Materials,291.67,4.62,5.17,,
3224,Porch Group,PRCH,YES,-0.36,-0.21,3.0,-1.03,338.531,87.236,43.4,275.95,-146.99401,107.577,-156.55901,-126.23401,610.635,Internet - Software,Computer and Technology,102.8,1.06,4.82,0.20439597877579693,-0.4574524732741439
