,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
4,Arlington Asset Investment,AAIC,YES,,,,0.29,,,69.54,43.28,31.055,0.0,5.426,-0.429,212.39999,REIT and Equity Trust,Finance,73.74,2.6,3.65,,-0.009912199630314233
7,Applied Optoelectronics,AAOI,YES,-0.14,-0.09,3.0,-0.48,243.83999,59.29999,5.32,222.82,-60.077,189.19099,-66.39701,-3.91101,183.164,Electronics - Semiconductors,Computer and Technology,62.22,2.14,3.76,0.09014796085661146,-0.017552329234359575
12,Almaden Minerals,AAU,YES,,,,,,,,,-1.87801,0.0,-9.11201,-4.4968,6.07,Mining - Gold,Basic Materials,21.09,0.1537,0.36,,
20,Ambev,ABEV,YES,0.03,0.04,1.0,0.16,16128.25976,3602.07006,14.33,15438.08,4286.15478,7829.76123,2800.49511,4091.2561,7325.09521,Beverages - Alcohol,Consumer Staples,44536.15,2.83,3.24,0.04373581337741739,0.265010681380068
28,Absolute Software,ABST,YES,0.12,0.11,1.0,0.34,232.1,60.4,63.36,197.31,15.861,12.62699,-24.48501,-24.48501,86.222,Security,Computer and Technology,419.06,7.94,12.42,0.16239221729902195,-0.12409411585829405
33,Aurora Cannabis,ACB,YES,-0.05,-0.05,4.0,-0.35,156.02499,48.65,-8.65,174.88,-1302.32801,158.11,-1357.09498,-313.784,588.71997,Medical - Products,Medical,215.19,0.6175,3.19,-0.11408383770041669,-1.794281793229643
35,Acco Brands,ACCO,YES,0.3,0.31,2.0,1.09,1895.36303,482.63,-3.84,1947.6,60.5,1395.30004,-13.2,183.1,882.29998,Office Supplies,Industrial Products,459.4,4.84,7.86,-0.02718745258033183,0.09401314438283015
37,Accel Entertainment,ACEL,YES,0.19,0.19,3.0,0.76,1072.55004,270.22,32.0,969.8,116.399,670.901,74.10199,128.764,299.212,Gaming,Consumer Discretionary,786.93,9.08,12.46,0.1007044423851577,0.13277376778717262
38,Acer Therapeutics,ACER,YES,-0.29,-0.23,2.0,-0.64,10.345,0.6,,1.26,-26.237,0.0,-26.237,-24.92301,3.51699,Medical - Drugs,Medical,22.23,0.9493,4.15,2.10539159023412,-19.780166666666666
43,Archer Aviation,ACHR,YES,-0.35,-0.35,1.0,-1.41,,,,,-319.60001,0.0,-317.29999,-209.60001,545.5,Aerospace - Defense,Aerospace,479.88,1.94,4.84,,
44,Achieve Life Sciences,ACHV,YES,-0.51,-0.45,1.0,-1.94,,,,,-40.56101,0.0,-42.35,-42.114,27.32999,Medical - Drugs,Medical,144.34,8.05,8.05,,
54,Ascent Industries Co.,ACNT,YES,,,,,,,23.73,414.15,20.597,357.61401,22.06599,34.88199,170.375,Manufacturing - General Industrial ,Industrial Products,97.35,9.57,17.77,,0.08422549800796814
56,ACRES Commercial Realty,ACR,YES,0.53,0.56,1.0,2.21,55.29999,13.8,50.11,75.17,10.762,7.03499,10.623,40.859,2166.84204,REIT and Equity Trust,Finance,79.71,9.23,12.72,-0.3069794874929311,0.5435546095516829
57,Ares Commercial Real Estate,ACRE,YES,0.39,0.38,2.0,1.48,212.77,53.805,4.68,106.85,30.25699,0.0,29.78499,76.41899,141.27799,REIT and Equity Trust,Finance,483.82,8.86,16.2,0.6887857883204699,0.7151987833411324
58,Aclaris Therapeutics,ACRS,YES,-0.45,-0.43,6.0,-1.73,7.5467,1.85829,340.05,29.75,-86.908,11.96,-86.908,-86.11101,231.55,Medical - Drugs,Medical,646.72,9.15,18.37,-1.37171875037339,-2.8944877310924366
59,AcelRx Pharmaceuticals,ACRX,YES,-0.86,-0.8,1.0,-2.78,3.29999,0.075,-37.15,1.77,47.78499,2.591,47.755,54.303,24.56599,Medical - Drugs,Medical,7.64,0.7,7.06,0.6229398915790751,30.67966101694915
61,Acacia Research,ACTG,YES,,,,,,,-32.74,59.22,-120.71801,37.388,-125.06501,-6.027,427.98498,Business - Services,Business Services,220.19,3.76,5.22,,-0.10177304964539008
69,ADEIA INC,ADEA,YES,0.35,0.31,1.0,1.32,396.5,100.83,-49.99,438.93,155.10699,0.0,-295.88001,733.47601,258.71301,Technology Services,Business Services,848.16,8.06,16.95,-0.101663905983278,1.6710546328571754
70,Advanced Emissions Solutions,ADES,YES,-0.1,-0.05,1.0,-0.27,100.0,20.89999,2.69,102.99,-8.372,80.46499,-8.917,-2.501,105.662,Pollution Control,Industrial Products,52.31,1.95,6.41,-0.02946171014961893,-0.02428391105932615
75,Adamis Pharmaceuticals,ADMP,YES,,,,,,,115.3,4.76,-26.19701,6.18699,-26.47801,-24.716,9.272,Medical - Drugs,Medical,14.1,0.094,0.54,,-5.192436974789916
76,Advent Technologies Holdings,ADN,YES,,,,-0.2,70.0,,10.86,7.84,-76.35901,8.581,-74.337,-3.988,49.5,Manufacturing - Electronics,Industrial Products,40.01,0.7656,4.21,2.1892564076870427,-0.5086734693877552
81,ADT,ADT,YES,0.23,0.15,1.0,0.74,6673.00976,1644.88,20.5,6395.0,502.68798,2039.84802,172.61799,1984.958,1721.99597,Security and Safety Services,Industrial Products,6437.65,7.02,9.86,0.04255456150011377,0.31039218139171226
82,"ADTRAN Holdings, Inc.",ADTN,YES,-0.02,0.07,1.0,0.68,1452.40002,354.5,82.15,1025.54,-67.52601,698.28399,-2.037,105.082,882.35797,Technology Services,Business Services,754.1,9.59,25.09,0.3479980711955086,0.10246504280671646
83,Aditx Therapeutics,ADTX,YES,-0.64,-0.66,1.0,-2.8,1.66499,0.405,789.27,0.93,-26.897,0.767,-27.65,2.069,4.74399,Medical - Drugs,Medical,3.82,0.79,18.5,0.5823898102432004,2.224731182795699
85,Advantage Solutions,ADV,YES,0.12,0.15,2.0,0.51,4227.16699,1023.70501,12.42,4049.74,-1418.17005,3493.1831,-1380.50196,2034.40795,1157.00805,Business - Information Services,Business Services,370.47,1.15,5.36,0.04287934483699336,0.5023552005807781
88,Aegon,AEG,YES,,,,0.06,,,-24.64,22478.25,-1279.07105,-9517.16895,-1509.80896,1609.96801,25909.08007,Insurance - Multi line,Finance,11877.68,4.44,5.73,,0.07162336970182287
93,Aethlon Medical,AEMD,YES,-0.13,-0.14,1.0,-0.55,,,-55.39,0.29,-10.421,0.0,-10.41601,-10.26201,18.15699,Medical - HMOs,Medical,14.01,0.61,1.99,,-35.38624137931035
99,Aeva Technologies,AEVA,YES,-0.16,-0.16,4.0,-0.64,6.47499,1.14999,-54.75,4.19,-147.305,8.44699,-147.305,-117.492,335.12298,Automotive - Original Equipment,Auto-Tires-Trucks,224.16,1.02,4.6,0.43524632924881806,-28.04105011933174
100,Audioeye,AEYE,YES,-0.02,0.0,1.0,0.0,32.90299,7.852,22.08,29.91,-10.429,7.21899,-10.433,-7.653,12.96599,Internet - Software,Computer and Technology,76.1,6.51,7.46,0.09537066245896654,-0.25586760280842524
104,Acutus Medical,AFIB,YES,-0.62,-0.59,1.0,-2.39,19.2,4.5,-5.21,16.36,-34.385,31.90999,-39.61601,-19.63501,117.86699,Medical - Drugs,Medical,22.8,0.789,1.87,0.16007094785913492,-1.2001839853300735
109,First Majestic Silver,AG,YES,0.1,0.11,1.0,0.14,645.79998,,6.87,624.22,-41.08101,471.68701,-114.27601,81.981,370.289,Mining - Silver,Basic Materials,1968.02,7.17,12.25,0.03398695701896112,0.13133350421325812
121,AgriFORCE Growing Systems,AGRI,YES,,,,-1.6,,,,,-9.476,0.0,-12.87301,-12.851,2.917,Agriculture - Operations,Consumer Staples,10.71,0.5899,3.06,,
122,Adecoagro,AGRO,YES,,,,0.69,1193.41296,,19.87,1347.72,272.96398,882.09899,108.138,378.89999,1023.02197,Agriculture - Operations,Consumer Staples,895.51,8.04,12.24,-0.12159704000542315,0.28114147597423794
123,PlayAGS,AGS,YES,0.02,0.01,6.0,0.01,326.707,82.035,19.15,309.44,30.34799,86.67199,-8.035,85.178,146.164,Gaming,Consumer Discretionary,221.1,5.85,8.3,0.05429953249761604,0.27526499482936917
130,Ashford Hospitality Trust,AHT,YES,0.63,0.25,2.0,0.75,1334.62402,365.84899,54.07,1240.86,92.273,903.33099,-139.825,71.649,642.92901,REIT and Equity Trust - Other,Finance,115.9,3.36,11.8,0.07284493161689913,0.05774140515448963
134,Arteris,AIP,YES,-0.16,-0.11,2.0,-0.54,57.71799,13.151,33.05,50.38,-27.431,4.281,-27.387,-12.98201,81.11199,Internet - Software,Computer and Technology,132.21,3.8,15.33,0.13597463909003807,-0.2576818181818182
137,Airgain,AIRG,YES,-0.04,0.03,3.0,0.0,80.86,17.17,18.08,75.89,-8.575,47.923,-8.65901,3.11899,27.15399,Communication - Components,Computer and Technology,59.95,5.84,10.99,0.06343434079680334,0.04109882724996706
138,AirSculpt Technologies,AIRS,YES,0.17,0.14,3.0,0.58,189.35899,54.36,26.61,168.79,-4.54501,62.78099,-14.679,29.742,16.676,Technology Services,Business Services,283.56,5.0,11.2,0.11498929273485853,0.17620712127495705
140,Apartment Investment and Management,AIV,YES,,,,-0.28,,,12.08,190.34,183.264,71.79199,75.72599,240.65299,268.77999,REIT and Equity Trust - Residential,Finance,1188.91,7.93,9.6,,1.2643321950194388
144,Great Ajax,AJX,YES,0.12,0.16,3.0,0.51,29.982,7.195,-54.28,35.64,-12.101,0.0,-15.011,34.283,1044.37902,REIT and Equity Trust,Finance,155.21,6.71,11.14,-0.1728714010124856,0.9619248035914703
145,a.k.a. Brands Holding Corp.,AKA,YES,-0.01,0.04,3.0,0.01,577.45397,135.59199,8.81,611.74,-173.571,274.49099,-176.69701,189.809,197.604,Retail - Apparel and Shoes,Retail-Wholesale,49.96,0.3871,4.13,-0.057678622050802104,0.3102772419655409
147,Akebia Therapeutics,AKBA,YES,-0.12,-0.1,2.0,-0.45,194.23199,47.97499,37.0,292.6,-76.875,84.79599,-92.562,-40.334,184.949,Medical - Drugs,Medical,121.62,0.6601,1.15,-0.40975321920933716,-0.1378468899521531
148,"Akili, Inc.",AKLI,YES,,,,-0.69,4.0769,,-39.96,0.32,-6.461,0.441,-7.96401,-78.03501,141.042,Medical Info Systems,Medical,95.28,1.22,14.07,2.5447711788855716,-243.85940625
151,Akoustis Technologies,AKTS,YES,-0.17,-0.15,4.0,-0.86,28.263,9.295,131.94,15.35,-61.02701,19.48699,-59.02701,-41.36801,91.731,Semiconductors - Radio Frequency,Computer and Technology,238.28,3.33,5.23,0.6104380547014343,-2.6949843648208467
165,Alignment Healthcare,ALHC,YES,-0.1,-0.14,5.0,-0.71,1723.99694,434.47,22.81,1434.16,-131.01101,1249.87902,-149.547,-130.211,544.54602,Medical Services,Medical,996.34,5.32,17.91,0.18406608533348462,-0.09079251966307804
166,Alight,ALIT,YES,0.14,0.16,2.0,0.64,3482.1831,800.21002,7.44,3132.0,81.0,2136.0,-62.0,699.0,2816.0,Internet - Software,Computer and Technology,5243.9,9.41,10.01,0.10598764655633712,0.2231800766283525
172,Allego,ALLG,YES,,,,,251.71,,,102.1,-359.54599,72.313,-378.20402,-364.35901,140.80999,Electronics - Miscellaneous Products,Computer and Technology,140.76,2.04,12.54,0.902324906018549,-3.5686484818805098
175,Allot,ALLT,YES,-0.13,-0.16,1.0,-0.47,114.9,27.89999,-15.7,122.74,-32.26901,39.831,-32.03,-15.837,151.817,Technology Services,Business Services,103.29,2.76,6.32,-0.0660061121062408,-0.1290288414534789
178,Alpine Immune Sciences,ALPN,YES,-0.36,-0.39,4.0,-1.51,33.54,8.6,28.24,30.06,-54.95601,0.0,-57.76201,-57.86501,240.99299,Medical - Drugs,Medical,341.94,7.16,9.52,0.10954337207023432,-1.9249836992681304
179,"Alpine 4 Holdings, Inc.",ALPP,YES,,,,,,,54.36,51.64,-18.13801,43.943,-19.483,-3.05341,42.844,Diversified Operations,Conglomerates,62.85,0.315,1.0,,-0.05912877614252517
183,Altimmune,ALT,YES,-0.47,-0.51,4.0,-1.94,,,-46.12,4.41,-84.90201,0.0,-84.713,-84.918,192.813,Medical - Drugs,Medical,285.33,5.79,22.41,,-19.25578231292517
185,Alto Ingredients,ALTO,YES,-0.1,0.02,1.0,-0.14,1198.47399,301.73699,10.57,1335.62,-37.84501,1363.17102,-41.59701,-16.199,199.121,Consumer Products - Discretionary,Consumer Discretionary,96.19,1.28,6.07,-0.10834653098937364,-0.012128449708749496
189,AlloVir,ALVR,YES,-0.49,-0.47,4.0,-1.9,,,,,-168.97501,0.0,-168.71001,-167.987,243.052,Medical - Drugs,Medical,360.23,3.85,9.98,,
198,Ardagh Metal Packaging,AMBP,YES,0.08,0.09,2.0,0.24,4965.09619,1369.32897,15.64,4689.0,256.0,4163.0,237.0,547.0,1908.0,Waste Removal Services,Business Services,2163.27,3.62,7.93,0.0572133308173277,0.11665600341224142
199,AMC Entertainment,AMC,YES,-0.06,-0.09,4.0,-0.4,4461.82519,1227.07495,54.73,3911.4,-630.59998,1280.30004,-973.59998,-630.40003,902.09997,Leisure and Recreation Services,Consumer Discretionary,2578.94,4.99,25.46,0.1316625515675914,-0.16116992125581633
216,Ampio Pharmaceuticals,AMPE,YES,,,,,,,,,-16.337,0.0,-16.337,1.05499,13.329,Medical - Drugs,Medical,3.28,0.2172,4.33,,
219,Altus Power,AMPS,YES,0.02,0.05,4.0,0.05,174.60299,44.714,40.9,101.16,75.40499,17.53199,55.437,88.055,215.069,Alternative Energy - Other,Oils-Energy,750.42,4.72,14.23,0.5458113463139244,0.8704527481217874
220,"Amprius Technologies, Inc.",AMPX,YES,-0.09,-0.12,2.0,-0.43,4.9,0.6,59.05,4.41,-17.33201,9.84799,-17.33201,-14.20801,75.17299,Technology Services,Business Services,803.99,9.5,12.94,0.10536051565782635,-3.2217709750566894
221,Amplify Energy,AMPY,YES,0.33,0.35,1.0,1.22,318.76998,81.54,33.69,458.46,72.08699,160.785,57.875,82.47399,99.244,Oil and Gas - Exploration and Production - United States,Oils-Energy,269.66,6.92,10.21,-0.3634032700264098,0.17989353487763382
226,Amyris,AMRS,YES,0.2,-0.24,4.0,-0.54,532.15399,247.75399,-21.06,269.85,-513.89203,258.66799,-528.51001,-521.46998,306.36099,Chemical - Specialty,Basic Materials,289.02,0.7882,4.05,0.6790666532802269,-1.9324438762275336
227,Amneal Pharmaceuticals,AMRX,YES,0.13,0.11,4.0,0.51,2325.00488,576.35699,5.67,2212.3,-89.75,1427.59594,-129.986,456.47799,1411.81799,Medical - Drugs,Medical,494.9,1.63,4.03,0.049689439628044084,0.20633638747005376
228,American Superconductor,AMSC,YES,-0.13,-0.09,1.0,-0.24,124.5,28.0,24.46,108.43,-21.042,94.943,-19.19301,-11.73701,94.33599,Electronics - Miscellaneous Components,Computer and Technology,119.3,4.04,6.57,0.1382009124206716,-0.10824504288481046
234,Aemetis,AMTX,YES,-0.21,-0.16,4.0,-0.77,360.328,95.24299,21.03,256.51,-85.298,262.048,-107.75801,-42.322,18.13599,Biofuels,Oils-Energy,79.17,2.16,11.12,0.3398470775458259,-0.1649916182604967
235,Atlis Motor Vehicles Inc.,AMV,YES,,,,,,,,,-70.67401,0.0,-70.681,0.349,3.667,Electronics - Miscellaneous Products,Computer and Technology,33.42,0.53,82.12,,
237,American Well,AMWL,YES,-0.2,-0.2,5.0,-0.8,279.432,65.91899,9.65,277.19,-269.73002,160.42199,-270.42899,-241.958,626.61602,Medical Info Systems,Medical,588.5,2.12,5.3,0.008055779773871315,-0.8728958476135503
246,Angi,ANGI,YES,-0.05,-0.04,4.0,-0.18,1677.59997,444.89199,12.23,1891.52,-125.127,438.05999,-128.45,10.809,484.20199,Internet - Content,Computer and Technology,1034.81,2.05,6.14,-0.12001655593098416,0.005714451869396041
247,AngioDynamics,ANGO,YES,0.03,-0.07,2.0,-0.05,338.78298,91.11799,8.66,316.22,-29.261,150.48699,-26.54701,29.16699,143.345,Medical - Instruments,Medical,349.2,8.9,24.3,0.06892155150651481,0.09223638606033772
254,AirMedia Group,ANTE,YES,,,,,,,11.04,26.02,-17.50301,14.77499,-17.335,-26.952,36.64799,Transportation - Airline,Transportation,6.98,1.56,6.64,,-1.0358186010760955
255,Sphere 3D,ANY,YES,,,,,,,63.36,6.08,-192.74601,3.417,-192.801,-164.538,10.284,Computers - IT Services,Computer and Technology,31.05,0.42,1.66,,-27.06217105263158
260,American Outdoor Brands,AOUT,YES,-0.16,-0.07,2.0,0.27,187.95399,38.951,-10.54,247.53,-55.536,133.287,-64.88,109.48799,179.80499,Leisure and Recreation Products,Consumer Discretionary,119.19,9.0,13.33,-0.2753345879492282,0.4423221023714297
261,AmpcoPittsburgh,AP,YES,,,,,,,13.12,390.19,10.98999,327.996,3.41599,20.82399,231.408,Metal Products - Procurement and Fabrication,Industrial Products,58.79,3.03,5.61,,0.053368845946846405
265,Applied DNA Sciences,APDN,YES,-0.17,-0.17,1.0,-0.81,17.1,3.79999,101.25,18.17,-8.27001,13.11499,-8.268,-9.12651,19.943,Security and Safety Services,Industrial Products,13.3,1.03,5.83,-0.060693418899465695,-0.502284534947716
266,American Public Education,APEI,YES,-0.35,-0.21,4.0,-0.97,607.22698,149.05999,44.78,606.33,-151.24801,288.47198,-114.993,70.466,186.091,Schools,Consumer Discretionary,124.51,6.54,21.05,0.0014782662505808347,0.1162172414361816
270,Agora,API,YES,-0.06,-0.05,1.0,-0.19,156.347,37.805,-4.35,160.67,-71.84401,61.247,-120.38,-104.49701,485.479,Technology Services,Business Services,392.8,3.39,7.64,-0.027274676055339224,-0.6503828343810295
278,AppHarvest,APPH,YES,-0.21,-0.18,1.0,-0.68,44.47999,17.2,61.24,14.59,-174.13901,56.99499,-176.646,-120.713,114.11199,Technology Services,Business Services,73.28,0.4725,4.67,1.1147030625874637,-8.273680603152844
282,Blue Apron,APRN,YES,-0.2,-0.13,1.0,-0.88,514.41998,129.50999,-2.53,458.47,-106.03501,304.574,-109.73301,-87.87101,76.71199,Food - Miscellaneous,Consumer Staples,42.28,0.6101,7.83,0.11514515473430714,-0.19166141732283462
283,Alpha Pro Tech,APT,YES,,,,,,,-9.7,61.98,4.39499,40.298,3.282,4.096,52.562,Security and Safety Services,Industrial Products,48.99,3.9945,4.93,,0.06608583414004518
287,Apyx Medical,APYX,YES,-0.11,-0.15,1.0,-0.42,58.11,12.77999,-8.26,44.51,-22.896,15.37899,-23.18401,-22.29401,42.972,Medical - Products,Medical,100.33,2.9,10.83,0.2666238830592513,-0.500876432262413
289,Aqua Metals,AQMS,YES,-0.05,-0.06,2.0,-0.18,0.804,0.00999,-97.69,0.0,-15.304,3.959,-15.431,-14.35701,23.20899,Waste Removal Services,Business Services,85.66,1.04,1.51,4.387014176184921,-inf
290,Algonquin Power & Utilities,AQN,YES,0.12,0.13,5.0,0.58,2859.20703,656.013,20.99,2765.2,-91.09401,1717.98498,-211.989,930.41998,1094.48095,Utility - Electric Power,Utilities,5746.07,8.35,15.63,0.0334313590607457,0.33647475047012876
291,Aquestive Therapeutics,AQST,YES,-0.22,-0.22,3.0,-0.78,37.55699,9.55329,-6.2,47.68,-41.967,19.38599,-54.41,-51.808,39.888,Medical - Drugs,Medical,77.66,1.39,2.05,-0.23865251007344337,-1.0865771812080538
295,Accuray,ARAY,YES,0.02,0.02,1.0,-0.06,449.23999,127.093,8.48,429.91,-2.00201,269.95401,-5.34701,0.98299,350.89001,Medical - Instruments,Medical,278.85,2.92,3.52,0.04398135937978028,0.002286501825963574
296,Industrial Tech Acquisitions,ARBE,YES,-0.1,-0.1,1.0,-0.38,6.0,0.6,56.38,3.52,-40.494,1.28299,-40.494,-38.85801,58.756,Technology Services,Business Services,172.5,2.66,8.63,0.5332984796180493,-11.039207386363636
297,Argo Blockchain,ARBK,YES,-0.16,-0.16,2.0,-1.19,54.125,6.63999,319.2,102.04,56.94699,28.26899,42.305,58.13299,214.40699,Technology Services,Business Services,68.81,1.44,8.5,-0.6340687069509567,0.5697078596628773
298,ARC Document Solutions,ARC,YES,0.09,0.09,1.0,0.31,289.6,75.3,5.07,286.01,18.41799,190.013,11.09399,32.485,107.47699,Commercial Printing,Industrial Products,133.0,3.07,3.88,0.012473885268006345,0.11357994475717632
303,Arcos Dorados,ARCO,YES,0.15,0.19,1.0,0.68,4006.40991,949.716,36.05,3618.9,77.786,3126.29711,140.343,264.535,684.36297,Retail - Restaurants,Retail-Wholesale,1648.05,7.83,9.0,0.10172544376554998,0.07309817900466993
306,Ardelyx,ARDX,YES,-0.09,-0.08,3.0,-0.29,70.99299,12.133,416.57,52.16,-62.126,4.117,-67.20701,-66.06301,153.60299,Medical - Drugs,Medical,1022.14,4.95,4.95,0.3082652221541882,-1.2665454371165645
308,American Resources,AREC,YES,-0.01,-0.02,1.0,-0.05,73.15,19.29999,409.01,39.47,-0.02,21.68799,-1.446,-16.72101,10.76299,Mining - Miscellaneous,Basic Materials,97.77,1.25,3.38,0.6169712377913776,-0.4236384595895617
309,Arena Group,AREN,YES,-0.87,-0.31,1.0,-2.0,260.14001,58.24,16.81,220.93,-57.023,132.923,-70.85801,-26.92701,78.69499,Technology Services,Business Services,91.44,4.2,15.78,0.16337407681349683,-0.12188027882134612
313,"Arhaus, Inc.",ARHS,YES,0.3,0.14,5.0,0.77,1279.66101,344.80398,54.21,1228.93,185.96499,703.86901,136.634,208.40199,478.05099,Retail - Miscellaneous,Retail-Wholesale,1142.92,8.16,14.9,0.04045133483251106,0.16958003303686947
314,Apollo Commercial Real Estate Finance,ARI,YES,0.42,0.41,2.0,1.67,289.32,72.81999,14.33,303.64,265.23199,38.41899,265.23199,201.06599,8343.13867,REIT and Equity Trust,Finance,1339.2,9.48,13.72,-0.04830944716748742,0.6621854498748518
315,Aris Water Solutions,ARIS,YES,0.18,0.23,5.0,0.8,358.32998,87.05999,40.02,321.0,34.506,207.00399,1.7,126.26699,138.99299,Waste Removal Services,Business Services,407.43,7.07,22.87,0.11001317058031503,0.39335510903426796
316,ARKO,ARKO,YES,0.22,0.19,2.0,0.5,9022.08007,2384.74511,23.26,9142.8,170.192,8003.07421,71.747,198.313,747.13299,Consumer Products - Staples,Consumer Staples,1017.82,8.47,10.38,-0.013291770365715353,0.021690619941374636
317,Arlo Technologies,ARLO,YES,0.01,0.05,2.0,0.1,474.42001,101.125,12.7,490.41,-55.65101,354.37899,-56.626,-1.298,232.78199,Internet - Software,Computer and Technology,601.23,6.71,8.04,-0.03314874954196665,-0.0026467649517750453
322,Archrock,AROC,YES,0.13,0.17,2.0,0.56,964.96502,238.02499,8.2,845.57,161.848,419.484,44.296,236.46299,231.96,Oil and Gas - Field Services,Oils-Energy,1530.42,9.77,11.46,0.13208089581791124,0.27964921887011124
324,Centricus Acquisition,ARQQ,YES,,,,0.08,78.469,,14925.0,7.21,65.29599,0.0,65.07499,66.36699,56.643,Technology Services,Business Services,147.4,1.1,10.26,2.387234691037606,9.204852981969488
326,ARMOUR Residential REIT,ARR,YES,0.25,0.26,1.0,1.09,253.988,61.89099,182.74,228.43,-109.13601,0.0,-229.93,164.07,251.899,REIT and Equity Trust,Finance,1000.9,5.2,7.92,0.10605720414023272,0.7182506676005778
328,Arrival,ARVL,YES,,,,,,,,,-5.112,0.0,-5.303,-5.303,0.444,Automotive - Original Equipment,Auto-Tires-Trucks,30.51,2.39,137.5,,
335,Waitr,ASAP,YES,,,,,,,-38.64,111.8,-201.045,60.055,-206.78901,168.699,23.604,Internet - Software,Computer and Technology,2.68,0.2577,9.64,,1.5089355992844367
343,Assembly Biosciences,ASMB,YES,-0.35,-0.33,3.0,-1.35,,,-92.09,6.25,-93.09201,0.0,-93.09201,-92.43901,96.967,Medical - Generic Drugs,Medical,50.65,0.975,2.34,,-14.7902416
347,Aspen Aerogels,ASPN,YES,-0.4,-0.33,5.0,-1.35,235.30999,49.87599,48.3,180.36,-79.24501,175.388,-82.738,-68.37401,369.68499,Building Products - Miscellaneous,Construction,386.08,5.51,24.53,0.26594889771777325,-0.379097416278554
348,Altisource Portfolio Solutions,ASPS,YES,-0.43,-0.26,1.0,0.06,176.05,36.58,-14.2,153.12,-30.928,131.30499,-53.418,-26.16501,87.55799,REIT and Equity Trust,Finance,76.81,3.69,17.39,0.1395461178964174,-0.17087911442006268
349,Aspen Group,ASPU,YES,-0.08,-0.15,1.0,-0.39,64.09999,13.69999,13.1,76.69,-8.43901,35.25899,-9.58601,-4.08781,39.38299,Internet - Services,Computer and Technology,2.78,0.1093,1.27,-0.1793271138563958,-0.053303038205763466
351,Assertio,ASRT,YES,0.14,0.12,3.0,0.51,156.697,39.323,40.73,156.23,39.12699,18.74799,109.625,143.32499,132.26199,Medical - Drugs,Medical,343.43,6.17,6.66,0.002984723892103191,0.9173973628624466
352,AmeriServ Financial,ASRV,YES,,,,,,,2.05,65.75,11.272,6.42399,7.44799,11.02,1007.84802,Banks - Northeast,Finance,51.44,3.0,4.1,,0.16760456273764257
354,Ascent Solar Technologies,ASTI,YES,,,,,,,101.15,1.22,-17.022,2.01099,-19.755,-16.376,12.444,Solar,Oils-Energy,10.15,0.275,12.4,,-13.422950819672133
355,Legato Merger,ASTL,YES,0.15,0.25,2.0,1.4,2065.14501,493.5,,3004.76,961.50897,1828.55798,684.27301,746.54699,1528.984,Steel - Producers,Basic Materials,777.79,7.51,10.39,-0.374997251201338,0.24845478174629587
356,Astra Space,ASTR,YES,,,,-0.39,21.0,,,9.37,-413.18601,29.53,-411.43799,-114.449,125.78199,Aerospace - Defense,Aerospace,107.39,0.3966,3.42,0.8070093414730923,-12.214407684098186
357,AST SpaceMobile,ASTS,YES,-0.18,-0.18,1.0,-0.61,2.35999,,11.45,13.82,-102.49601,6.714,-31.64,-26.92901,268.30999,Wireless Equipment,Computer and Technology,858.35,4.29,13.93,-1.767459436599118,-1.9485535455861072
359,ASE Technology,ASX,YES,,,,0.82,,,10.31,22519.19,2791.19506,17440.36914,2001.35205,3888.6621,9774.39843,Electronics - Semiconductors,Computer and Technology,15307.19,7.01,7.97,,0.17268214798134393
360,Asensus Surgical,ASXC,YES,-0.07,-0.07,1.0,-0.26,9.39999,1.2,-13.91,7.09,-74.83301,10.87199,-75.561,-55.896,86.873,Medical - Instruments,Medical,165.22,0.6905,1.0,0.282023284901569,-7.883779971791256
361,Amtech Systems,ASYS,YES,0.15,0.38,1.0,0.45,135.6,36.0,24.76,106.3,18.78499,66.787,17.367,6.631,102.93599,Semiconductor - General,Computer and Technology,122.29,8.72,12.93,0.24344409015839288,0.06238005644402635
362,atai Life Sciences,ATAI,YES,-0.21,-0.22,2.0,-0.94,0.89999,,-98.86,0.23,-135.18201,0.0,-152.385,-152.217,287.14498,Medical - Outpatient and Home Healthcare,Medical,360.24,2.17,4.97,1.3643043432282753,-661.8130434782609
365,Aterian,ATER,YES,-0.11,-0.05,1.0,-0.48,204.74899,46.09999,-10.73,221.17,-194.06501,115.652,-196.29201,83.29599,100.01599,Technology Services,Business Services,62.27,0.7688,5.63,-0.07714684670455059,0.3766152281050776
372,ATI Physical Therapy,ATIP,YES,-0.07,-0.08,2.0,-0.28,660.388,168.90299,1.24,635.67,-496.29902,574.419,-492.379,535.56402,194.13299,Medical - Outpatient and Home Healthcare,Medical,55.99,0.27,2.24,0.038147980318259375,0.8425189485110199
378,Actinium Pharmaceuticals,ATNM,YES,-0.47,-0.48,3.0,-1.84,6.09999,,-9.97,1.03,-33.017,0.0,-33.017,-32.31801,110.942,Medical - Drugs,Medical,239.28,9.3,14.41,1.778728329592115,-31.376708737864078
